eventName,shortName,city,country,startDate,endDate,url
Scent Arabia 2025,Scent Arabia,Manama,Bahrain,2025-11-25,2025-11-29,https://www.scent-arabia.com/
ISSA Show North America 2025,ISSA Show North America,Las Vegas,United States,2025-11-10,2025-11-13,www.issashow.com
Beauty Ingredients & Formulation Asia (BIFA) 2025,BIFA,Hong Kong,"Hong Kong, S.A.R., China",2025-11-11,2025-11-12,https://www.beautyifa.com/
Jewellery Gem & Technology Dubai 2025,"Jewellery, Gem & Technology Dubai",Dubai,United Arab Emirates,2025-11-11,2025-11-13,https://www.jgtdubaijewelleryshow.com/
Seatrade Maritime Crew Connect Global 2025,Seatrade Maritime Crew Connect Global,Manila,Philippines,2025-11-11,2025-11-13,https://www.crew-connect-global.com/en/home.html
Adhesives & Bonding Expo Europe 2025,Adhesives & Bonding Expo Europe,Stuttgart,Germany,2025-11-11,2025-11-13,https://www.adhesivesandbondingexpo-europe.com/
Foam Expo Europe 2025,Foam Expo Europe,Stuttgart,Germany,2025-11-11,2025-11-13,https://www.foam-expo-europe.com/ 
Cosmopack Asia 2025,Cosmopack Asia,Hong Kong,"Hong Kong, S.A.R., China",2025-11-11,2025-11-13,https://www.cosmoprof-asia.com/
NCN Fall Investor Meeting 2025,NCN Fall Investor Meeting,San Francisco,United States,2025-11-12,2025-11-12,https://www.nutritioncapital.com/en/Investor-meeting/NCN-Fall-Investor-Meeting.html
Cosmoprof Asia 2025,Cosmoprof Asia,Hong Kong,"Hong Kong, S.A.R., China",2025-11-12,2025-11-14,https://www.cosmoprof-asia.com
40th Shanghai International Franchise Exhibition 2025,SFE Shanghai,Shanghai,China,2025-11-12,2025-11-14,www.sfeshow.com
28th Shanghai Global Food Trade Show 2025,FHC China,Shanghai,China,2025-11-12,2025-11-14,https://www.fhcchina.com/en
SALON DU CHOCOLAT 2025,SALON DU CHOCOLAT,Shanghai,China,2025-11-12,2025-11-14,https://www.salonduchocolat.cn/en
SIUF Vietnam Intimate Fashion and Sourcing Expo 2025,SIUF Vietnam,Ho Chi Minh City,Vietnam,2025-11-13,2025-11-15,siufvietnam.com
CBME Vietnam 2025,CBME Vietnam,Ho Chi Minh City,Vietnam,2025-11-13,2025-11-15,cbmevietnam.com
Cityscape Global Saudi 2025,Cityscape Global Saudi,Riyadh,Saudi Arabia,2025-11-17,2025-11-20,https://www.cityscapeglobal.com/en/home.html
Dubai Airshow 2025,Dubai Airshow,Dubai,United Arab Emirates,2025-11-17,2025-11-21,https://www.dubaiairshow.aero/
Smart Nation Expo 2025,Smart Nation Expo,Kuala Lumpur,Malaysia,2025-11-18,2025-11-20,https://smartnationexpo.org/
Space Tech Expo Europe 2025,Space Tech Expo Europe,Bremen,Germany,2025-11-18,2025-11-20,https://www.spacetechexpo-europe.com/
GROWTECH. ANTALYA 2025,GROWTECH. ANTALYA,Antalya,Türkiye,2025-11-18,2025-11-21,https://www.growtech.com.tr/
MEDevice Silicon Valley 2025,MEDevice Silicon Valley,Santa Clara,United States,2025-11-19,2025-11-20,https://www.medevicesiliconvalley.com/
Plastic & Rubber Indonesia 2025,Plastics & Rubber Indonesia,Jakarta,Indonesia,2025-11-19,2025-11-22,http://www.plasticsandrubberindonesia.com
ProPak Indonesia 2025,ProPak Indonesia,Jakarta,Indonesia,2025-11-19,2025-11-22,https://www.propakindonesia.com/
Energy Storage Awards 2025,Energy Storage Awards,London,United Kingdom,2025-11-20,2025-11-20,https://storageawards.solarenergyevents.com/
Taiwan Jewellery & Gem Fair 2025,Taiwan Jewellery & Gem Fair,Taipei,Taiwan China,2025-11-21,2025-11-24,https://www.taiwanjewelleryfair.com/
TOC Asia 2025,TOC Asia,Singapore,Singapore,2025-11-25,2025-11-26,https://www.tocevents-asia.com/en/Home.html
Africa Energy Expo 2025,Africa Energy Expo,Kigali,Rwanda,2025-11-25,2025-11-27,https://www.africa-energyexpo.com/
CPhI & P-MEC India 2025,CPhI & P-Mec India,New Delhi,India,2025-11-25,2025-11-27,https://www.cphi.com/india/en/home.html
Cityscape Bahrain 2025,Cityscape Bahrain,Manama,Bahrain,2025-11-25,2025-11-29,https://www.cityscapebahrain.com
Jewellery Arabia 2025,Jewellery Arabia,Manama,Bahrain,2025-11-25,2025-11-29,https://www.jewelleryarabia.com/en/home.html
Scent Arabia 2025,Scent Arabia,Manama,Bahrain,2025-11-25,2025-11-29,https://www.scent-arabia.com/
ISSA Show North America 2025,ISSA Show North America,Las Vegas,United States,2025-11-10,2025-11-13,www.issashow.com
Beauty Ingredients & Formulation Asia (BIFA) 2025,BIFA,Hong Kong,"Hong Kong, S.A.R., China",2025-11-11,2025-11-12,https://www.beautyifa.com/
Jewellery Gem & Technology Dubai 2025,"Jewellery, Gem & Technology Dubai",Dubai,United Arab Emirates,2025-11-11,2025-11-13,https://www.jgtdubaijewelleryshow.com/
Seatrade Maritime Crew Connect Global 2025,Seatrade Maritime Crew Connect Global,Manila,Philippines,2025-11-11,2025-11-13,https://www.crew-connect-global.com/en/home.html
Adhesives & Bonding Expo Europe 2025,Adhesives & Bonding Expo Europe,Stuttgart,Germany,2025-11-11,2025-11-13,https://www.adhesivesandbondingexpo-europe.com/
Foam Expo Europe 2025,Foam Expo Europe,Stuttgart,Germany,2025-11-11,2025-11-13,https://www.foam-expo-europe.com/ 
Cosmopack Asia 2025,Cosmopack Asia,Hong Kong,"Hong Kong, S.A.R., China",2025-11-11,2025-11-13,https://www.cosmoprof-asia.com/
NCN Fall Investor Meeting 2025,NCN Fall Investor Meeting,San Francisco,United States,2025-11-12,2025-11-12,https://www.nutritioncapital.com/en/Investor-meeting/NCN-Fall-Investor-Meeting.html
Cosmoprof Asia 2025,Cosmoprof Asia,Hong Kong,"Hong Kong, S.A.R., China",2025-11-12,2025-11-14,https://www.cosmoprof-asia.com
40th Shanghai International Franchise Exhibition 2025,SFE Shanghai,Shanghai,China,2025-11-12,2025-11-14,www.sfeshow.com
28th Shanghai Global Food Trade Show 2025,FHC China,Shanghai,China,2025-11-12,2025-11-14,https://www.fhcchina.com/en
SALON DU CHOCOLAT 2025,SALON DU CHOCOLAT,Shanghai,China,2025-11-12,2025-11-14,https://www.salonduchocolat.cn/en
SIUF Vietnam Intimate Fashion and Sourcing Expo 2025,SIUF Vietnam,Ho Chi Minh City,Vietnam,2025-11-13,2025-11-15,siufvietnam.com
CBME Vietnam 2025,CBME Vietnam,Ho Chi Minh City,Vietnam,2025-11-13,2025-11-15,cbmevietnam.com
Cityscape Global Saudi 2025,Cityscape Global Saudi,Riyadh,Saudi Arabia,2025-11-17,2025-11-20,https://www.cityscapeglobal.com/en/home.html
Dubai Airshow 2025,Dubai Airshow,Dubai,United Arab Emirates,2025-11-17,2025-11-21,https://www.dubaiairshow.aero/
Smart Nation Expo 2025,Smart Nation Expo,Kuala Lumpur,Malaysia,2025-11-18,2025-11-20,https://smartnationexpo.org/
Space Tech Expo Europe 2025,Space Tech Expo Europe,Bremen,Germany,2025-11-18,2025-11-20,https://www.spacetechexpo-europe.com/
GROWTECH. ANTALYA 2025,GROWTECH. ANTALYA,Antalya,Türkiye,2025-11-18,2025-11-21,https://www.growtech.com.tr/
MEDevice Silicon Valley 2025,MEDevice Silicon Valley,Santa Clara,United States,2025-11-19,2025-11-20,https://www.medevicesiliconvalley.com/
Plastic & Rubber Indonesia 2025,Plastics & Rubber Indonesia,Jakarta,Indonesia,2025-11-19,2025-11-22,http://www.plasticsandrubberindonesia.com
ProPak Indonesia 2025,ProPak Indonesia,Jakarta,Indonesia,2025-11-19,2025-11-22,https://www.propakindonesia.com/
Energy Storage Awards 2025,Energy Storage Awards,London,United Kingdom,2025-11-20,2025-11-20,https://storageawards.solarenergyevents.com/
Taiwan Jewellery & Gem Fair 2025,Taiwan Jewellery & Gem Fair,Taipei,Taiwan China,2025-11-21,2025-11-24,https://www.taiwanjewelleryfair.com/
TOC Asia 2025,TOC Asia,Singapore,Singapore,2025-11-25,2025-11-26,https://www.tocevents-asia.com/en/Home.html
Africa Energy Expo 2025,Africa Energy Expo,Kigali,Rwanda,2025-11-25,2025-11-27,https://www.africa-energyexpo.com/
CPhI & P-MEC India 2025,CPhI & P-Mec India,New Delhi,India,2025-11-25,2025-11-27,https://www.cphi.com/india/en/home.html
Cityscape Bahrain 2025,Cityscape Bahrain,Manama,Bahrain,2025-11-25,2025-11-29,https://www.cityscapebahrain.com
Jewellery Arabia 2025,Jewellery Arabia,Manama,Bahrain,2025-11-25,2025-11-29,https://www.jewelleryarabia.com/en/home.html
Scent Arabia 2025,Scent Arabia,Manama,Bahrain,2025-11-25,2025-11-29,https://www.scent-arabia.com/
ISSA Show North America 2025,ISSA Show North America,Las Vegas,United States,2025-11-10,2025-11-13,www.issashow.com
Beauty Ingredients & Formulation Asia (BIFA) 2025,BIFA,Hong Kong,"Hong Kong, S.A.R., China",2025-11-11,2025-11-12,https://www.beautyifa.com/
Jewellery Gem & Technology Dubai 2025,"Jewellery, Gem & Technology Dubai",Dubai,United Arab Emirates,2025-11-11,2025-11-13,https://www.jgtdubaijewelleryshow.com/
Seatrade Maritime Crew Connect Global 2025,Seatrade Maritime Crew Connect Global,Manila,Philippines,2025-11-11,2025-11-13,https://www.crew-connect-global.com/en/home.html
Adhesives & Bonding Expo Europe 2025,Adhesives & Bonding Expo Europe,Stuttgart,Germany,2025-11-11,2025-11-13,https://www.adhesivesandbondingexpo-europe.com/
Foam Expo Europe 2025,Foam Expo Europe,Stuttgart,Germany,2025-11-11,2025-11-13,https://www.foam-expo-europe.com/ 
Cosmopack Asia 2025,Cosmopack Asia,Hong Kong,"Hong Kong, S.A.R., China",2025-11-11,2025-11-13,https://www.cosmoprof-asia.com/
NCN Fall Investor Meeting 2025,NCN Fall Investor Meeting,San Francisco,United States,2025-11-12,2025-11-12,https://www.nutritioncapital.com/en/Investor-meeting/NCN-Fall-Investor-Meeting.html
Cosmoprof Asia 2025,Cosmoprof Asia,Hong Kong,"Hong Kong, S.A.R., China",2025-11-12,2025-11-14,https://www.cosmoprof-asia.com
40th Shanghai International Franchise Exhibition 2025,SFE Shanghai,Shanghai,China,2025-11-12,2025-11-14,www.sfeshow.com
28th Shanghai Global Food Trade Show 2025,FHC China,Shanghai,China,2025-11-12,2025-11-14,https://www.fhcchina.com/en
SALON DU CHOCOLAT 2025,SALON DU CHOCOLAT,Shanghai,China,2025-11-12,2025-11-14,https://www.salonduchocolat.cn/en
SIUF Vietnam Intimate Fashion and Sourcing Expo 2025,SIUF Vietnam,Ho Chi Minh City,Vietnam,2025-11-13,2025-11-15,siufvietnam.com
CBME Vietnam 2025,CBME Vietnam,Ho Chi Minh City,Vietnam,2025-11-13,2025-11-15,cbmevietnam.com
Cityscape Global Saudi 2025,Cityscape Global Saudi,Riyadh,Saudi Arabia,2025-11-17,2025-11-20,https://www.cityscapeglobal.com/en/home.html
Dubai Airshow 2025,Dubai Airshow,Dubai,United Arab Emirates,2025-11-17,2025-11-21,https://www.dubaiairshow.aero/
Smart Nation Expo 2025,Smart Nation Expo,Kuala Lumpur,Malaysia,2025-11-18,2025-11-20,https://smartnationexpo.org/
Space Tech Expo Europe 2025,Space Tech Expo Europe,Bremen,Germany,2025-11-18,2025-11-20,https://www.spacetechexpo-europe.com/
GROWTECH. ANTALYA 2025,GROWTECH. ANTALYA,Antalya,Türkiye,2025-11-18,2025-11-21,https://www.growtech.com.tr/
MEDevice Silicon Valley 2025,MEDevice Silicon Valley,Santa Clara,United States,2025-11-19,2025-11-20,https://www.medevicesiliconvalley.com/
Plastic & Rubber Indonesia 2025,Plastics & Rubber Indonesia,Jakarta,Indonesia,2025-11-19,2025-11-22,http://www.plasticsandrubberindonesia.com
ProPak Indonesia 2025,ProPak Indonesia,Jakarta,Indonesia,2025-11-19,2025-11-22,https://www.propakindonesia.com/
Energy Storage Awards 2025,Energy Storage Awards,London,United Kingdom,2025-11-20,2025-11-20,https://storageawards.solarenergyevents.com/
Taiwan Jewellery & Gem Fair 2025,Taiwan Jewellery & Gem Fair,Taipei,Taiwan China,2025-11-21,2025-11-24,https://www.taiwanjewelleryfair.com/
TOC Asia 2025,TOC Asia,Singapore,Singapore,2025-11-25,2025-11-26,https://www.tocevents-asia.com/en/Home.html
Africa Energy Expo 2025,Africa Energy Expo,Kigali,Rwanda,2025-11-25,2025-11-27,https://www.africa-energyexpo.com/
CPhI & P-MEC India 2025,CPhI & P-Mec India,New Delhi,India,2025-11-25,2025-11-27,https://www.cphi.com/india/en/home.html
Cityscape Bahrain 2025,Cityscape Bahrain,Manama,Bahrain,2025-11-25,2025-11-29,https://www.cityscapebahrain.com
Jewellery Arabia 2025,Jewellery Arabia,Manama,Bahrain,2025-11-25,2025-11-29,https://www.jewelleryarabia.com/en/home.html
Scent Arabia 2025,Scent Arabia,Manama,Bahrain,2025-11-25,2025-11-29,https://www.scent-arabia.com/
ISSA Show North America 2025,ISSA Show North America,Las Vegas,United States,2025-11-10,2025-11-13,www.issashow.com
Beauty Ingredients & Formulation Asia (BIFA) 2025,BIFA,Hong Kong,"Hong Kong, S.A.R., China",2025-11-11,2025-11-12,https://www.beautyifa.com/
Jewellery Gem & Technology Dubai 2025,"Jewellery, Gem & Technology Dubai",Dubai,United Arab Emirates,2025-11-11,2025-11-13,https://www.jgtdubaijewelleryshow.com/
Seatrade Maritime Crew Connect Global 2025,Seatrade Maritime Crew Connect Global,Manila,Philippines,2025-11-11,2025-11-13,https://www.crew-connect-global.com/en/home.html
Adhesives & Bonding Expo Europe 2025,Adhesives & Bonding Expo Europe,Stuttgart,Germany,2025-11-11,2025-11-13,https://www.adhesivesandbondingexpo-europe.com/
Foam Expo Europe 2025,Foam Expo Europe,Stuttgart,Germany,2025-11-11,2025-11-13,https://www.foam-expo-europe.com/ 
Cosmopack Asia 2025,Cosmopack Asia,Hong Kong,"Hong Kong, S.A.R., China",2025-11-11,2025-11-13,https://www.cosmoprof-asia.com/
NCN Fall Investor Meeting 2025,NCN Fall Investor Meeting,San Francisco,United States,2025-11-12,2025-11-12,https://www.nutritioncapital.com/en/Investor-meeting/NCN-Fall-Investor-Meeting.html
Cosmoprof Asia 2025,Cosmoprof Asia,Hong Kong,"Hong Kong, S.A.R., China",2025-11-12,2025-11-14,https://www.cosmoprof-asia.com
40th Shanghai International Franchise Exhibition 2025,SFE Shanghai,Shanghai,China,2025-11-12,2025-11-14,www.sfeshow.com
28th Shanghai Global Food Trade Show 2025,FHC China,Shanghai,China,2025-11-12,2025-11-14,https://www.fhcchina.com/en
SALON DU CHOCOLAT 2025,SALON DU CHOCOLAT,Shanghai,China,2025-11-12,2025-11-14,https://www.salonduchocolat.cn/en
SIUF Vietnam Intimate Fashion and Sourcing Expo 2025,SIUF Vietnam,Ho Chi Minh City,Vietnam,2025-11-13,2025-11-15,siufvietnam.com
CBME Vietnam 2025,CBME Vietnam,Ho Chi Minh City,Vietnam,2025-11-13,2025-11-15,cbmevietnam.com
Cityscape Global Saudi 2025,Cityscape Global Saudi,Riyadh,Saudi Arabia,2025-11-17,2025-11-20,https://www.cityscapeglobal.com/en/home.html
Dubai Airshow 2025,Dubai Airshow,Dubai,United Arab Emirates,2025-11-17,2025-11-21,https://www.dubaiairshow.aero/
Smart Nation Expo 2025,Smart Nation Expo,Kuala Lumpur,Malaysia,2025-11-18,2025-11-20,https://smartnationexpo.org/
Space Tech Expo Europe 2025,Space Tech Expo Europe,Bremen,Germany,2025-11-18,2025-11-20,https://www.spacetechexpo-europe.com/
GROWTECH. ANTALYA 2025,GROWTECH. ANTALYA,Antalya,Türkiye,2025-11-18,2025-11-21,https://www.growtech.com.tr/
MEDevice Silicon Valley 2025,MEDevice Silicon Valley,Santa Clara,United States,2025-11-19,2025-11-20,https://www.medevicesiliconvalley.com/
Plastic & Rubber Indonesia 2025,Plastics & Rubber Indonesia,Jakarta,Indonesia,2025-11-19,2025-11-22,http://www.plasticsandrubberindonesia.com
ProPak Indonesia 2025,ProPak Indonesia,Jakarta,Indonesia,2025-11-19,2025-11-22,https://www.propakindonesia.com/
Energy Storage Awards 2025,Energy Storage Awards,London,United Kingdom,2025-11-20,2025-11-20,https://storageawards.solarenergyevents.com/
Taiwan Jewellery & Gem Fair 2025,Taiwan Jewellery & Gem Fair,Taipei,Taiwan China,2025-11-21,2025-11-24,https://www.taiwanjewelleryfair.com/
TOC Asia 2025,TOC Asia,Singapore,Singapore,2025-11-25,2025-11-26,https://www.tocevents-asia.com/en/Home.html
Africa Energy Expo 2025,Africa Energy Expo,Kigali,Rwanda,2025-11-25,2025-11-27,https://www.africa-energyexpo.com/
CPhI & P-MEC India 2025,CPhI & P-Mec India,New Delhi,India,2025-11-25,2025-11-27,https://www.cphi.com/india/en/home.html
Cityscape Bahrain 2025,Cityscape Bahrain,Manama,Bahrain,2025-11-25,2025-11-29,https://www.cityscapebahrain.com
Jewellery Arabia 2025,Jewellery Arabia,Manama,Bahrain,2025-11-25,2025-11-29,https://www.jewelleryarabia.com/en/home.html
Scent Arabia 2025,Scent Arabia,Manama,Bahrain,2025-11-25,2025-11-29,https://www.scent-arabia.com/
ISSA Show North America 2025,ISSA Show North America,Las Vegas,United States,2025-11-10,2025-11-13,www.issashow.com
Beauty Ingredients & Formulation Asia (BIFA) 2025,BIFA,Hong Kong,"Hong Kong, S.A.R., China",2025-11-11,2025-11-12,https://www.beautyifa.com/
Jewellery Gem & Technology Dubai 2025,"Jewellery, Gem & Technology Dubai",Dubai,United Arab Emirates,2025-11-11,2025-11-13,https://www.jgtdubaijewelleryshow.com/
Seatrade Maritime Crew Connect Global 2025,Seatrade Maritime Crew Connect Global,Manila,Philippines,2025-11-11,2025-11-13,https://www.crew-connect-global.com/en/home.html
Adhesives & Bonding Expo Europe 2025,Adhesives & Bonding Expo Europe,Stuttgart,Germany,2025-11-11,2025-11-13,https://www.adhesivesandbondingexpo-europe.com/
Foam Expo Europe 2025,Foam Expo Europe,Stuttgart,Germany,2025-11-11,2025-11-13,https://www.foam-expo-europe.com/ 
Cosmopack Asia 2025,Cosmopack Asia,Hong Kong,"Hong Kong, S.A.R., China",2025-11-11,2025-11-13,https://www.cosmoprof-asia.com/
NCN Fall Investor Meeting 2025,NCN Fall Investor Meeting,San Francisco,United States,2025-11-12,2025-11-12,https://www.nutritioncapital.com/en/Investor-meeting/NCN-Fall-Investor-Meeting.html
Cosmoprof Asia 2025,Cosmoprof Asia,Hong Kong,"Hong Kong, S.A.R., China",2025-11-12,2025-11-14,https://www.cosmoprof-asia.com
40th Shanghai International Franchise Exhibition 2025,SFE Shanghai,Shanghai,China,2025-11-12,2025-11-14,www.sfeshow.com
28th Shanghai Global Food Trade Show 2025,FHC China,Shanghai,China,2025-11-12,2025-11-14,https://www.fhcchina.com/en
SALON DU CHOCOLAT 2025,SALON DU CHOCOLAT,Shanghai,China,2025-11-12,2025-11-14,https://www.salonduchocolat.cn/en
SIUF Vietnam Intimate Fashion and Sourcing Expo 2025,SIUF Vietnam,Ho Chi Minh City,Vietnam,2025-11-13,2025-11-15,siufvietnam.com
CBME Vietnam 2025,CBME Vietnam,Ho Chi Minh City,Vietnam,2025-11-13,2025-11-15,cbmevietnam.com
Cityscape Global Saudi 2025,Cityscape Global Saudi,Riyadh,Saudi Arabia,2025-11-17,2025-11-20,https://www.cityscapeglobal.com/en/home.html
Dubai Airshow 2025,Dubai Airshow,Dubai,United Arab Emirates,2025-11-17,2025-11-21,https://www.dubaiairshow.aero/
Smart Nation Expo 2025,Smart Nation Expo,Kuala Lumpur,Malaysia,2025-11-18,2025-11-20,https://smartnationexpo.org/
Space Tech Expo Europe 2025,Space Tech Expo Europe,Bremen,Germany,2025-11-18,2025-11-20,https://www.spacetechexpo-europe.com/
GROWTECH. ANTALYA 2025,GROWTECH. ANTALYA,Antalya,Türkiye,2025-11-18,2025-11-21,https://www.growtech.com.tr/
MEDevice Silicon Valley 2025,MEDevice Silicon Valley,Santa Clara,United States,2025-11-19,2025-11-20,https://www.medevicesiliconvalley.com/
Plastic & Rubber Indonesia 2025,Plastics & Rubber Indonesia,Jakarta,Indonesia,2025-11-19,2025-11-22,http://www.plasticsandrubberindonesia.com
ProPak Indonesia 2025,ProPak Indonesia,Jakarta,Indonesia,2025-11-19,2025-11-22,https://www.propakindonesia.com/
Energy Storage Awards 2025,Energy Storage Awards,London,United Kingdom,2025-11-20,2025-11-20,https://storageawards.solarenergyevents.com/
Taiwan Jewellery & Gem Fair 2025,Taiwan Jewellery & Gem Fair,Taipei,Taiwan China,2025-11-21,2025-11-24,https://www.taiwanjewelleryfair.com/
TOC Asia 2025,TOC Asia,Singapore,Singapore,2025-11-25,2025-11-26,https://www.tocevents-asia.com/en/Home.html
Africa Energy Expo 2025,Africa Energy Expo,Kigali,Rwanda,2025-11-25,2025-11-27,https://www.africa-energyexpo.com/
CPhI & P-MEC India 2025,CPhI & P-Mec India,New Delhi,India,2025-11-25,2025-11-27,https://www.cphi.com/india/en/home.html
Cityscape Bahrain 2025,Cityscape Bahrain,Manama,Bahrain,2025-11-25,2025-11-29,https://www.cityscapebahrain.com
Jewellery Arabia 2025,Jewellery Arabia,Manama,Bahrain,2025-11-25,2025-11-29,https://www.jewelleryarabia.com/en/home.html
Scent Arabia 2025,Scent Arabia,Manama,Bahrain,2025-11-25,2025-11-29,https://www.scent-arabia.com/
ISSA Show North America 2025,ISSA Show North America,Las Vegas,United States,2025-11-10,2025-11-13,www.issashow.com
Beauty Ingredients & Formulation Asia (BIFA) 2025,BIFA,Hong Kong,"Hong Kong, S.A.R., China",2025-11-11,2025-11-12,https://www.beautyifa.com/
Jewellery Gem & Technology Dubai 2025,"Jewellery, Gem & Technology Dubai",Dubai,United Arab Emirates,2025-11-11,2025-11-13,https://www.jgtdubaijewelleryshow.com/
Seatrade Maritime Crew Connect Global 2025,Seatrade Maritime Crew Connect Global,Manila,Philippines,2025-11-11,2025-11-13,https://www.crew-connect-global.com/en/home.html
Adhesives & Bonding Expo Europe 2025,Adhesives & Bonding Expo Europe,Stuttgart,Germany,2025-11-11,2025-11-13,https://www.adhesivesandbondingexpo-europe.com/
Foam Expo Europe 2025,Foam Expo Europe,Stuttgart,Germany,2025-11-11,2025-11-13,https://www.foam-expo-europe.com/ 
Cosmopack Asia 2025,Cosmopack Asia,Hong Kong,"Hong Kong, S.A.R., China",2025-11-11,2025-11-13,https://www.cosmoprof-asia.com/
NCN Fall Investor Meeting 2025,NCN Fall Investor Meeting,San Francisco,United States,2025-11-12,2025-11-12,https://www.nutritioncapital.com/en/Investor-meeting/NCN-Fall-Investor-Meeting.html
Cosmoprof Asia 2025,Cosmoprof Asia,Hong Kong,"Hong Kong, S.A.R., China",2025-11-12,2025-11-14,https://www.cosmoprof-asia.com
40th Shanghai International Franchise Exhibition 2025,SFE Shanghai,Shanghai,China,2025-11-12,2025-11-14,www.sfeshow.com
28th Shanghai Global Food Trade Show 2025,FHC China,Shanghai,China,2025-11-12,2025-11-14,https://www.fhcchina.com/en
SALON DU CHOCOLAT 2025,SALON DU CHOCOLAT,Shanghai,China,2025-11-12,2025-11-14,https://www.salonduchocolat.cn/en
SIUF Vietnam Intimate Fashion and Sourcing Expo 2025,SIUF Vietnam,Ho Chi Minh City,Vietnam,2025-11-13,2025-11-15,siufvietnam.com
CBME Vietnam 2025,CBME Vietnam,Ho Chi Minh City,Vietnam,2025-11-13,2025-11-15,cbmevietnam.com
Cityscape Global Saudi 2025,Cityscape Global Saudi,Riyadh,Saudi Arabia,2025-11-17,2025-11-20,https://www.cityscapeglobal.com/en/home.html
Dubai Airshow 2025,Dubai Airshow,Dubai,United Arab Emirates,2025-11-17,2025-11-21,https://www.dubaiairshow.aero/
Smart Nation Expo 2025,Smart Nation Expo,Kuala Lumpur,Malaysia,2025-11-18,2025-11-20,https://smartnationexpo.org/
Space Tech Expo Europe 2025,Space Tech Expo Europe,Bremen,Germany,2025-11-18,2025-11-20,https://www.spacetechexpo-europe.com/
GROWTECH. ANTALYA 2025,GROWTECH. ANTALYA,Antalya,Türkiye,2025-11-18,2025-11-21,https://www.growtech.com.tr/
MEDevice Silicon Valley 2025,MEDevice Silicon Valley,Santa Clara,United States,2025-11-19,2025-11-20,https://www.medevicesiliconvalley.com/
Plastic & Rubber Indonesia 2025,Plastics & Rubber Indonesia,Jakarta,Indonesia,2025-11-19,2025-11-22,http://www.plasticsandrubberindonesia.com
ProPak Indonesia 2025,ProPak Indonesia,Jakarta,Indonesia,2025-11-19,2025-11-22,https://www.propakindonesia.com/
Energy Storage Awards 2025,Energy Storage Awards,London,United Kingdom,2025-11-20,2025-11-20,https://storageawards.solarenergyevents.com/
Taiwan Jewellery & Gem Fair 2025,Taiwan Jewellery & Gem Fair,Taipei,Taiwan China,2025-11-21,2025-11-24,https://www.taiwanjewelleryfair.com/
TOC Asia 2025,TOC Asia,Singapore,Singapore,2025-11-25,2025-11-26,https://www.tocevents-asia.com/en/Home.html
Africa Energy Expo 2025,Africa Energy Expo,Kigali,Rwanda,2025-11-25,2025-11-27,https://www.africa-energyexpo.com/
CPhI & P-MEC India 2025,CPhI & P-Mec India,New Delhi,India,2025-11-25,2025-11-27,https://www.cphi.com/india/en/home.html
Cityscape Bahrain 2025,Cityscape Bahrain,Manama,Bahrain,2025-11-25,2025-11-29,https://www.cityscapebahrain.com
Jewellery Arabia 2025,Jewellery Arabia,Manama,Bahrain,2025-11-25,2025-11-29,https://www.jewelleryarabia.com/en/home.html
Scent Arabia 2025,Scent Arabia,Manama,Bahrain,2025-11-25,2025-11-29,https://www.scent-arabia.com/
